Sep=,
Ft,Fd,a,x,dt,v,t,Step
18.000000,2.060100,15.939899,0.057384,0.060000,0.956394,0.000000,0
17.913925,2.061966,15.851959,0.171834,0.060000,1.907511,0.060000,1
17.742249,2.067523,15.674726,0.342714,0.060000,2.847995,0.120000,2
17.485928,2.076647,15.409281,0.569067,0.060000,3.772552,0.180000,3
17.146400,2.089134,15.057266,0.849626,0.060000,4.675988,0.240000,4
16.725559,2.104704,14.620855,1.182821,0.060000,5.553239,0.300000,5
16.225769,2.123011,14.102758,1.566785,0.060000,6.399405,0.360000,6
15.649822,2.143643,13.506180,1.999372,0.060000,7.209776,0.420000,7
15.000942,2.166141,12.834801,2.478163,0.060000,7.979864,0.480000,8
14.282755,2.190004,12.092752,3.000489,0.060000,8.705429,0.540000,9
13.499266,2.214700,11.284565,3.563439,0.060000,9.382503,0.600000,10
12.654840,2.239684,10.415156,4.163884,0.060000,10.007412,0.660000,11
11.754173,2.264403,9.489771,4.798492,0.060000,10.576798,0.720000,12
10.802262,2.288312,8.513950,5.463750,0.060000,11.087635,0.780000,13
9.804375,2.310889,7.493486,6.155984,0.060000,11.537244,0.840000,14
8.766024,2.331640,6.434383,6.871383,0.060000,11.923306,0.900000,15
7.692926,2.350117,5.342809,7.606015,0.060000,12.243875,0.960000,16
6.590977,2.365921,4.225056,8.355858,0.060000,12.497377,1.020000,17
0.000000,2.378716,-2.378716,9.097137,0.060000,12.354654,1.080000,18
0.000000,2.371480,-2.371480,9.829880,0.060000,12.212365,1.140000,19
0.000000,2.364350,-2.364350,10.554110,0.060000,12.070504,1.200000,20
0.000000,2.357322,-2.357322,11.269854,0.060000,11.929065,1.260000,21
0.000000,2.350397,-2.350397,11.977136,0.060000,11.788041,1.320000,22
0.000000,2.343574,-2.343574,12.675982,0.060000,11.647427,1.380000,23
0.000000,2.336852,-2.336852,13.366414,0.060000,11.507215,1.440000,24
0.000000,2.330229,-2.330229,14.048458,0.060000,11.367402,1.500000,25
0.000000,2.323704,-2.323704,14.722136,0.060000,11.227980,1.559999,26
0.000000,2.317278,-2.317278,15.387473,0.060000,11.088943,1.619999,27
0.000000,2.310948,-2.310948,16.044491,0.060000,10.950286,1.679999,28
0.000000,2.304714,-2.304714,16.693211,0.060000,10.812003,1.739999,29
0.000000,2.298575,-2.298575,17.333656,0.060000,10.674088,1.799999,30
0.000000,2.292530,-2.292530,17.965849,0.060000,10.536537,1.859999,31
0.000000,2.286578,-2.286578,18.589809,0.060000,10.399343,1.919999,32
0.000000,2.280719,-2.280719,19.205559,0.060000,10.262500,1.979999,33
0.000000,2.274951,-2.274951,19.813118,0.060000,10.126002,2.039999,34
0.000000,2.269273,-2.269273,20.412508,0.060000,9.989846,2.099999,35
0.000000,2.263686,-2.263686,21.003750,0.060000,9.854025,2.159999,36
0.000000,2.258188,-2.258188,21.586863,0.060000,9.718534,2.219999,37
0.000000,2.252778,-2.252778,22.161865,0.060000,9.583366,2.279999,38
0.000000,2.247456,-2.247456,22.728777,0.060000,9.448519,2.339999,39
0.000000,2.242220,-2.242220,23.287617,0.060000,9.313986,2.399999,40
0.000000,2.237071,-2.237071,23.838402,0.060000,9.179762,2.459999,41
0.000000,2.232007,-2.232007,24.381153,0.060000,9.045841,2.519999,42
0.000000,2.227028,-2.227028,24.915886,0.060000,8.912220,2.579998,43
0.000000,2.222132,-2.222132,25.442619,0.060000,8.778893,2.639998,44
0.000000,2.217321,-2.217321,25.961370,0.060000,8.645853,2.699998,45
0.000000,2.212592,-2.212592,26.472157,0.060000,8.513098,2.759998,46
0.000000,2.207945,-2.207945,26.974995,0.060000,8.380621,2.819998,47
0.000000,2.203379,-2.203379,27.469900,0.060000,8.248418,2.879998,48
0.000000,2.198894,-2.198894,27.956890,0.060000,8.116485,2.939998,49
0.000000,2.194490,-2.194490,28.435980,0.060000,7.984815,2.999998,50
0.000000,2.190165,-2.190165,28.907185,0.060000,7.853405,3.059998,51
0.000000,2.185919,-2.185919,29.370520,0.060000,7.722250,3.119998,52
0.000000,2.181752,-2.181752,29.826000,0.060000,7.591345,3.179998,53
0.000000,2.177662,-2.177662,30.273642,0.060000,7.460685,3.239998,54
0.000000,2.173650,-2.173650,30.713457,0.060000,7.330266,3.299998,55
0.000000,2.169715,-2.169715,31.145462,0.060000,7.200083,3.359998,56
0.000000,2.165856,-2.165856,31.569670,0.060000,7.070132,3.419998,57
0.000000,2.162073,-2.162073,31.986094,0.060000,6.940407,3.479998,58
0.000000,2.158365,-2.158365,32.394749,0.060000,6.810905,3.539998,59
0.000000,2.154732,-2.154732,32.795647,0.060000,6.681622,3.599998,60
0.000000,2.151174,-2.151174,33.188801,0.060000,6.552551,3.659997,61
0.000000,2.147689,-2.147689,33.574223,0.060000,6.423690,3.719997,62
0.000000,2.144278,-2.144278,33.951923,0.060000,6.295033,3.779997,63
0.000000,2.140940,-2.140940,34.321918,0.060000,6.166576,3.839997,64
0.000000,2.137675,-2.137675,34.684216,0.060000,6.038316,3.899997,65
0.000000,2.134481,-2.134481,35.038830,0.060000,5.910247,3.959997,66
0.000000,2.131359,-2.131359,35.385773,0.060000,5.782365,4.019997,67
0.000000,2.128309,-2.128309,35.725052,0.060000,5.654667,4.079997,68
0.000000,2.125329,-2.125329,36.056683,0.060000,5.527147,4.139997,69
0.000000,2.122421,-2.122421,36.380672,0.060000,5.399802,4.199997,70
0.000000,2.119582,-2.119582,36.697029,0.060000,5.272627,4.259997,71
0.000000,2.116813,-2.116813,37.005768,0.060000,5.145618,4.319997,72
0.000000,2.114114,-2.114114,37.306892,0.060000,5.018772,4.379997,73
0.000000,2.111484,-2.111484,37.600418,0.060000,4.892083,4.439997,74
0.000000,2.108922,-2.108922,37.886353,0.060000,4.765547,4.499997,75
0.000000,2.106429,-2.106429,38.164703,0.060000,4.639162,4.559997,76
0.000000,2.104005,-2.104005,38.435478,0.060000,4.512921,4.619997,77
0.000000,2.101648,-2.101648,38.698689,0.060000,4.386823,4.679996,78
0.000000,2.099358,-2.099358,38.954342,0.060000,4.260861,4.739996,79
0.000000,2.097136,-2.097136,39.202442,0.060000,4.135033,4.799996,80
0.000000,2.094981,-2.094981,39.443001,0.060000,4.009334,4.859996,81
0.000000,2.092893,-2.092893,39.676025,0.060000,3.883760,4.919996,82
0.000000,2.090871,-2.090871,39.901524,0.060000,3.758308,4.979996,83
0.000000,2.088915,-2.088915,40.119503,0.060000,3.632973,5.039996,84
0.000000,2.087025,-2.087025,40.329967,0.060000,3.507752,5.099996,85
0.000000,2.085201,-2.085201,40.532925,0.060000,3.382640,5.159996,86
0.000000,2.083442,-2.083442,40.728382,0.060000,3.257633,5.219996,87
0.000000,2.081749,-2.081749,40.916348,0.060000,3.132728,5.279996,88
0.000000,2.080121,-2.080121,41.096825,0.060000,3.007921,5.339996,89
0.000000,2.078557,-2.078557,41.269817,0.060000,2.883208,5.399996,90
0.000000,2.077058,-2.077058,41.435333,0.060000,2.758584,5.459996,91
0.000000,2.075624,-2.075624,41.593376,0.060000,2.634047,5.519996,92
0.000000,2.074254,-2.074254,41.743950,0.060000,2.509592,5.579996,93
0.000000,2.072948,-2.072948,41.887062,0.060000,2.385215,5.639996,94
0.000000,2.071706,-2.071706,42.022717,0.060000,2.260912,5.699996,95
0.000000,2.070528,-2.070528,42.150917,0.060000,2.136681,5.759995,96
0.000000,2.069413,-2.069413,42.271667,0.060000,2.012516,5.819995,97
0.000000,2.068362,-2.068362,42.384972,0.060000,1.888414,5.879995,98
0.000000,2.067375,-2.067375,42.490833,0.060000,1.764372,5.939995,99
0.000000,2.066451,-2.066451,42.589256,0.060000,1.640385,5.999995,100
0.000000,2.065589,-2.065589,42.680244,0.060000,1.516449,6.059995,101
0.000000,2.064791,-2.064791,42.763798,0.060000,1.392562,6.119995,102
0.000000,2.064056,-2.064056,42.839920,0.060000,1.268719,6.179995,103
0.000000,2.063384,-2.063384,42.908615,0.060000,1.144916,6.239995,104
0.000000,2.062774,-2.062774,42.969883,0.060000,1.021149,6.299995,105
0.000000,2.062227,-2.062227,43.023727,0.060000,0.897416,6.359995,106
0.000000,2.061743,-2.061743,43.070148,0.060000,0.773711,6.419995,107
0.000000,2.061321,-2.061321,43.109150,0.060000,0.650032,6.479995,108
0.000000,2.060962,-2.060962,43.140732,0.060000,0.526374,6.539995,109
0.000000,2.060665,-2.060665,43.164894,0.060000,0.402734,6.599995,110
0.000000,2.060431,-2.060431,43.181641,0.060000,0.279108,6.659995,111
0.000000,2.060259,-2.060259,43.190971,0.060000,0.155493,6.719995,112
0.000000,2.060149,-2.060149,43.192883,0.060000,0.031884,6.779994,113
0.000000,0.000000,0.000000,43.187378,0.060000,0.000000,6.839994,114
0.000000,0.000000,0.000000,43.179962,0.060000,0.000000,6.899994,115
0.000000,0.000000,0.000000,43.172546,0.060000,0.000000,6.959994,116
0.000000,0.000000,0.000000,43.165131,0.060000,0.000000,7.019994,117
0.000000,0.000000,0.000000,43.157715,0.060000,0.000000,7.079994,118
0.000000,0.000000,0.000000,43.150299,0.060000,0.000000,7.139994,119
0.000000,0.000000,0.000000,43.142883,0.060000,0.000000,7.199994,120
0.000000,0.000000,0.000000,43.135468,0.060000,0.000000,7.259994,121
0.000000,0.000000,0.000000,43.128052,0.060000,0.000000,7.319994,122
0.000000,0.000000,0.000000,43.120636,0.060000,0.000000,7.379994,123
0.000000,0.000000,0.000000,43.113220,0.060000,0.000000,7.439994,124
0.000000,0.000000,0.000000,43.105804,0.060000,0.000000,7.499994,125
0.000000,0.000000,0.000000,43.098389,0.060000,0.000000,7.559994,126
0.000000,0.000000,0.000000,43.090973,0.060000,0.000000,7.619994,127
0.000000,0.000000,0.000000,43.083557,0.060000,0.000000,7.679994,128
0.000000,0.000000,0.000000,43.076141,0.060000,0.000000,7.739994,129
0.000000,0.000000,0.000000,43.068726,0.060000,0.000000,7.799994,130
0.000000,0.000000,0.000000,43.061310,0.060000,0.000000,7.859993,131
0.000000,0.000000,0.000000,43.053894,0.060000,0.000000,7.919993,132
0.000000,0.000000,0.000000,43.046478,0.060000,0.000000,7.979993,133
0.000000,0.000000,0.000000,43.039063,0.060000,0.000000,8.039993,134
0.000000,0.000000,0.000000,43.031647,0.060000,0.000000,8.099994,135
0.000000,0.000000,0.000000,43.024231,0.060000,0.000000,8.159994,136
0.000000,0.000000,0.000000,43.016815,0.060000,0.000000,8.219995,137
0.000000,0.000000,0.000000,43.009399,0.060000,0.000000,8.279995,138
0.000000,0.000000,0.000000,43.001984,0.060000,0.000000,8.339995,139
0.000000,0.000000,0.000000,42.994568,0.060000,0.000000,8.399996,140
0.000000,0.000000,0.000000,42.987152,0.060000,0.000000,8.459996,141
0.000000,0.000000,0.000000,42.979736,0.060000,0.000000,8.519997,142
0.000000,0.000000,0.000000,42.972321,0.060000,0.000000,8.579997,143
0.000000,0.000000,0.000000,42.964905,0.060000,0.000000,8.639997,144
0.000000,0.000000,0.000000,42.957489,0.060000,0.000000,8.699998,145
0.000000,0.000000,0.000000,42.950073,0.060000,0.000000,8.759998,146
0.000000,0.000000,0.000000,42.942657,0.060000,0.000000,8.819999,147
0.000000,0.000000,0.000000,42.935242,0.060000,0.000000,8.879999,148
0.000000,0.000000,0.000000,42.927826,0.060000,0.000000,8.940000,149
